School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
North Miami Middle/High School,320,,,,,-86.06602199999999,40.895989
Rossville Senior High School,313,,,,,-86.59762970000001,40.4140594
South Decatur Jr-Sr High Sch,313,,,,,-85.5766525,39.2068084
Covington Community High Sch,309,,,,,-87.3953317,40.1431228
Tecumseh Jr-Sr High Sch,309,,,,,-87.3405531,38.1943771
North Daviess Jr-Sr High Sch,306,,,,,-87.06191919999999,38.84743470000001
Northfield Jr-Sr High School,304,,,,,-85.79578219999999,40.8553665
Riverton Parke Jr-Sr High School,304,,,,,-87.3220879,39.697741
Fremont High School,303,,,,,-84.9401146,41.7296487
South Central (Union Mills) Jr-Sr HS,303,,,,,-86.81492109999999,41.4653275
Westville High School,296,,,,,-86.89444429999999,41.5416489
Southwood Jr-Sr High School,295,,,,,-85.78124079999999,40.7401174
Lafayette Central Catholic Jr-Sr HS,291,,,,,-86.8870068,40.3927809
University High School of Indiana,289,,,,,-86.21221249999999,39.9542639
Hammond Acad. Of Sci. & Tech.,287,,,,,-87.5235321,41.6179983
Tri Junior-Senior High School,285,,,,,-85.3510865,39.832935
North Central (Farmersburg) HS,283,,,,,-87.3904635,39.2249612
Union City Community High Sch,280,,,,,-84.81485289999999,40.2041946
West Central Senior High School,280,,,,,-86.890402,41.028479
Daleville Jr/Sr High School,279,,,,,-85.5546521,40.1184352
Loogootee Jr/Sr High School,278,,,,,-86.9212472,38.6779439
Indpls. Lighthouse Charter School,277,,,,,-86.08896510000001,39.743379
Wood Memorial High,277,,,,,-87.35191189999999,38.3309062
Kouts Middle/High School,275,,,,,-87.02199879999999,41.3128995
Pioneer Jr-Sr High School,275,,,,,-86.49421319999999,40.8609819
Wes-Del Middle/Senior High Sch,275,,,,,-85.49961809999999,40.2801027
Clinton Central Junior-Senior HS,274,,,,,-86.391188,40.297755
Marquette Catholic HS,273,,,,,-86.9027409,41.7109078
Tindley Accelerated Sch,273,,,,,-86.1145682,39.8297603
Tri Central Middle-High School,271,,,,,-86.05366049999999,40.37565439999999
Edinburgh Community High Sch,269,,,,,-85.9705208,39.3516005
Hauser Jr-Sr High School,268,,,,,-85.7700062,39.2926055
Northeast Dubois High School,268,,,,,-86.7964178,38.4509433
